Week,Class,Id
4.3.2.4,example,Izmantot dualitātes teorēmu un aprēķināt dualitātes atstarpi
4.3.2.5,example,Sastādīt LP modeli optimizācijas veida teksta uzdevumam.
4.3.2.6,example,Sastādīt LP modeli maksimālās plūsmas uzdevumam grafā.
4.3.3,task,Primārā-Duālā metode LP uzdevumos
4.3.4,task,LP uzdevumu izmērs un sarežģītība
4.3.5,task,Analizēt dualitātes izpausmes teksta uzdevumos
4.3.5.1,task,Izmantot dualitāti grafu plūsmas uzdevumos
4.3.5.2,task,Izmantot dualitāti krājumu vadības uzdevumos
4.3.5.3,task,Izmantot dualitāti matricu spēļu uzdevumos
4.4,task,Izmantot elipsoīda metodi LP risināšanā
4.4,description,Apakšnodaļa apskata iteratīvu (skaitlisko metožu iedvesmotu) LP risināšanas metodi – elipsoīdu metodi un tās ģeometrisko interpretāciju. 
4.4,reading,"https://bit.ly/2BsZXtr (MIT:Goemans2008, L12) Advanced Algorithms: Ellipsoid Algorithm"
4.4,reading,"https://bit.ly/3hD1dtf (MIT:Goemans2009, L7) Combinatorial Optimization: Ellipsoid Algorithm"
4.4,reading,https://bit.ly/32TGVYy (MIT:Vempala2003; L17) Combinatorial Optimization: The Ellipsoid Algorithm
4.4,video,NA
4.4.1,task,Izklāstīt Elipsoīda algoritma soļus
4.4.2,task,Formulēt Hačijana elipsoīda algoritma tilpumu novērtējumu.
4.5,task,Izmantot iekšējā punkta metodes un afīno mērogošanu
4.5,description,Apakšnodaļā virspusēji aprakstītas vairākas iekšējā punkta metodes un viena no tām (afīnās mērogošanas atsevišķs variants) izklāstīts detalizēti.
4.5,reading,"https://bit.ly/3jDScSH (MIT:Bertsimas2009, L21) Optimization Methods: Affine scaling algorithm"
4.5,video,NA
4.5.1,task,Ieviest nepārtrauktu funkciju optimizācijā pazīstamus jēdzienus
4.5.1.1,task,Definēt izliektas kopas
4.5.1.2,task,Nepārtrauktas un diferencējamas funkcijas maksimumi
4.5.1.3,task,Formulēt teorēmu par lineāras funkcijas lielāko vērtība uz sfēras
4.5.1.4,task,Rakstīt izteiksmi $n$-dimensiju vektora projicēšanai hiperplaknē.
4.5.2,task,Lietot un analizēt afīnās mērogošanas metodi LP risināšanā
4.5.2.1,task,Izpildīt afīnās mērogošanas metodes koordinātu pārveidojumus.
4.5.2.2,task,Atrast afīnās mērogošanas metodes maksimālā pieauguma virzienu.
4.5.2.3,task,Projicēt afīnās mērogošanas metodes virzienu dotajā plaknē
4.5.2.4,task,Atrast afīnās mērogošanas kārtējo tuvinājumu un atgriezties sākotnējos apzīmējumos
4.5.3,task,Apskatīt LP modeļu izmantošanu Ieteikumu sistēmās (recommender systems) – tsk. Netflix vai grāmatu ieteikumos.
4.5.4,task,Reducēt dažas NP-pilnas problēmas uz lineāras optimizācijas (t.sk. Integer programming) uzdevumiem.
4.5.5,task,Identificēt citus iekšējā punkta metožu variantus
5,topic,Lietot un analizēt virkņu meklēšanas algoritmus
5.1,task,Ieviest virkņu meklēšanā izmantotos jēdzienus
5.1,description,Šajā apakšnodaļā apskatām pamatjēdzienus un naivo algoritmu.
5.1,reading,https://bit.ly/302iHcL (RajputJi2016) Wildcard Pattern Matching
5.1,video,NA
5.1.1,task,"Definēt terminus – virkne, apakšvirkne, apakšstrings, apakšstringa indekss"
5.1.1.1,task,"Aprakstīt virkņu meklēšanas uzdevumus (jā/nē testēšana, pirmais indekss, visi indeksi)"
5.1.1.2,task,Aprakstīt garākās kopīgās apakšvirknes uzdevumu.
5.1.1.3,math,Novērtēt apakšvirkņu un apakšstringu skaitu dotajā virknē
5.1.1.4,math,Pamatot dažas stringu prefiksu/sufiksu īpašības
5.1.2,task,Lietot un analizēt naivo apakšstringa meklēšanas algoritmu.
5.1.2.1,task,Novērtēt naivā virkņu meklēšanas algoritma ātrdarbību sliktākajā gadījumā.
5.1.2.2,task,Novērtēt naivā virkņu meklēšanas algoritma ātrdarbību “nejaušām” virknēm.
5.1.3,task,Aplūkot algoritmiskus risinājumus rediģēšanas attālumam
5.1.3.1,task,Definēt Levenšteina (rediģēšanas) attālumu
5.1.3.2,task,Lietot un analizēt dinamiskās programmēšanas algoritmu rediģēšanas attālumam
5.1.3.3,task,Pārveidot rediģēšanas attālumu par īsāko ceļu grafā un Dijkstras algoritmu
5.1.3.4,task,"Izmantot dinamisko programmēšanu, meklējot paraugus ar aizstājējzīmēm (wildcards)"
5.2,task,Lietot hešinga paradigmas virkņu meklēšanas algoritmos.
5.2,description,Šajā apakšnodaļā apspriesti slīdošā loga (sliding window jeb rolling hash) algoritmi.
5.2,reading,"https://bit.ly/2D6X0PK (MIT:Devadas2009, L6) Introduction to Algorithms: Rolling Hash"
5.2,reading,"https://bit.ly/2CSoske (MIT:Demaine2011, L9) Introduction to Algorithms: Table Doubling, Karp-Rabin"
5.2.1,task,Manipulēt ar skaitļiem dažādās skaitīšanas sistēmās
5.2.1.1,math,Pārveidot skaitļus no vienas skaitīšanas sistēmas citā
5.2.1.2,math,Aprēķināt polinomu vērtības ar Hornera shēmu
5.2.1.2,math,Aprēķināt pozicionāli pierakstītu skaitļu vērtības ar Hornera shēmu.
5.2.1.4,math,Rakstīt formulas “ritinošā hešinga” efektīvai aprēķināšanai
5.2.2,task,Lietot un analizēt Rabina-Karpa algoritmu 
5.2.2.1,task,Apskatīt optimāla modulārā hešinga funkciju parametru izvēli
5.2.2.2,example,"Ja doti parametri, novērtēt viltus trāpījumu varbūtību Rabina-Karpa algoritmā."
5.2.2.3,example,"Veikt Rabina-Karpa soli, ja doti parametri un pārbaudāmais teksts"
5.2.3,task,Definēt Blūma filtrus – varbūtiskas datu struktūras ar hešingu.
5.2.3.1,task,"Formulēt Blūma filtra abstrakto datu tipu, iespējamās kļūdas atbildēs"
5.2.3.2,task,"Aplūkot praktiski izraudzītus parametrus, lai Blūma filtrs sniegtu vietas ietaupījumu"
5.3,task,Veidot datu struktūras Knuta-Morisa-Prata algoritumam
5.3,description,"Apakšnodaļa apraksta parauga meklēšanu ar galīga automāta palīdzību, kura stāvokļu pārejas iekodē prefiksu funkcija. "
5.3,reading,"https://bit.ly/3g0lJDH (CMU:Kingsford2017, L9)  Design & Analysis of Algorithms: String Matching"
5.3,reading,"https://bit.ly/2Db5FAM (Berkeley:Patrascu2009, HW5) Computability and Complexity: Pattern Matching"
5.2,video,NA
5.3.1,task,Aplūkot galīgo automātu jēdzienus stringu analīzei.
5.3.1.1,math,Izveidot automātu apakšstringu meklēšanai
5.3.1.2,math,Izveidot automātu regulāru izteiksmju meklēšanai
5.3.2,task,Parādīt ievades papildināšanas (input enhancement) pieeju virkņu meklēšanas algoritmos.
5.3.3,task,Definēt prefiksu funkciju meklējamam paraugam un tās algoritmu
5.3.4,task,"Definēt KMP algoritmu, kas optimizē nobīdes palielinājumus"
5.3.4.1,example,Dotajam meklējamajam paraugam P izveidot KMP prefiksu funkcijas tabulu.
5.3.4.2,example,Pamatot dažas prefiksu funkcijas īpašības
5.3.4.3,example,"Saskaitīt simbolu salīdzināšanas, meklējot apakšvirknes ar KMP algoritmu."
5.3.5,task,Salīdzināt KMP ar stāvokļu automātu 
5.3.5.1,task,Definēt stāvokļa automātu stringu meklēšanas uzdevumiem.
5.3.5.2,task,Aplūkot prefiksu funkcijas saistību ar pārejām stāvokļu automātā
5.3.5.3,task,Dotam paraugam $P$ izveidot galīgu automātu tā meklēšanai.
5.4,task,Veidot datu struktūras Bojera-Mūra algoritmam
5.4,description,"Apakšnodaļa apraksta otra veida stringu meklēšanas algoritmus, kuri sāk pārbaudes no parauga beigām."
5.4,reading,https://bit.ly/3jHoImP (UCDavis:Gusfield2011) String Algorithms: Notes on Boyer-Moore
5.4,reading,https://bit.ly/32WHwIT (Lang2001) Boyer-Moore-Algorithmus
5.4,reading,https://bit.ly/3g3MSWn (Mangal2017) Boyer Moore Algorithm: Good Suffix heuristic
5.4,video,NA
5.4.1,task,Aprakstīt Bojera-Mūra algoritmu
5.4.1.1,task,Aprakstīt sliktā simbola heiristiku un funkciju $\lambda(n)$
5.4.1.2,task,Aprakstīt labā sufiksa heiristiku un gammas funkciju $\gamma(n)$
5.4.1.3,example,Dotajam meklēšanas paraugam $P$ izveidot labā sufiksa tabulu
5.4.1.4,example,Dotajam meklēšanas paraugam $P$ izveidot  sliktā simbola tabulu.
5.4.3,task,Analizēt pilna BM algoritma ātrdarbību caurmēra un sliktākajā gadījumā. 
5.4.4,task,Lietot un analizēt Bojera-Mūra-Horspola algoritmu caurmēra un slikākajā gadījumā
5.5,task,Veidot sufiksu koku un lietot to virkņu uzdevumos
5.5,description,"Šajā nodaļā apskatītas tās pieejas, kas nav radniecīgas RK, KMP, BM algoritmiem un virkņu algoritmu lietojumi dzīvē."
5.5,reading,"https://bit.ly/32SSHSK (CMU:Kingsford2017, L10) Algorithms: Suffix Trees and Arrays"
5.5,reading,"https://bit.ly/32UjyOi (MIT:Karger1999, Handout 8) Advanced Algorithms: Problemset 3 Solutions"
5.5,reading,https://bit.ly/2WYeSn3 (Allison) Suffix Trees
5.5,reading,https://stanford.io/2Dc2Pvm (Stanford:KayA) Suffix Trees
5.5,reading,https://stanford.io/3hEnJlD (Stanford:KayB) Suffix Trees: Notes on Ukkonen's Algorithm
5.5,video,https://bit.ly/30R8nDl (MIT:Demaine2012) Advanced Data Structures: Strings
5.5.1,task,Minēt garākā kopīgā apakšstringa meklēšanas algoritmus
5.5.2,task,Apskatīt stringu meklēšanas lietojumus datoru drošībā
5.5.2.1,task,Apskatīt slīdošā hešinga lietojumus plaģiāta noķeršanā; pārskatīt rīkus un pakalpojumu veidus.
5.5.2.2,task,Izskaidrot datu noplūdes novēršanas lietojumus (DLP); heštabulu un Blūma filtru lietojumus tajos.
5.5.2.3,task,Pazīt algoritmus leksikonu (nelielu vārdnīcu) meklēšanu DLP rīkos
5.5.2.4,task,Pazīt algoritmus regulāru izteiksmju meklēšanu DLP rīkos
5.5.3,task,Iepazīties ar sufiksu kokiem
5.5.3.1,task,Definēt sufiksu koku datu struktūras.
5.5.3.2,task,Lietot un analizēt Ukonena algoritmu sufiksu koku veidošanai.
5.5.3.3,task,Izmantot sufiksu kokus dažiem meklēšanas uzdevumiem.
